0;1
PELA ORDEM;"O SR. PEDRO LUCAS FERNANDES (Bloco/PTB - MA. Pela ordem. Sem revisão do orador.) - As minhas palavras são rápidas. Eu quero me apresentar a toda a Nação brasileira como o novo Líder do partido, o partido de dez novos Deputados, no qual apenas um já passou por esta Casa. Somos dez Parlamentares e temos a Deputada mais nova do País, Luisa Canziani. Quero dizer que é uma grande satisfação estar aqui neste momento único para o Brasil.
Sr. Presidente, já apresentamos uma proposta bastante interessante que cria um fundo de amparo aos quilombolas localizados em Alcântara, onde está a base do CLA - Centro de Lançamento de Alcântara. O CLA, agora com o novo Governo Bolsonaro, vai ter uma perspectiva muito grande de acordos com os Estados Unidos e outras nações, e nós temos que criar esse fundo para proteger os quilombolas que ali estão.
Alcântara é formada por uma população basicamente rural - 70% da sua população é rural -, e nós apresentamos o Projeto de Lei nº 245, de 2019. Tenho certeza de que, com o avanço dos acordos com o CLA, nós vamos aprovar esse projeto.
São essas as minhas palavras. Eu desejo que neste Parlamento nós possamos ter a vontade brasileira em muitas propostas e em muitas decisões. O nosso nome é Pedro Lucas Fernandes.
Obrigado."
PEQUENO EXPEDIENTE;"O SR. PEDRO LUCAS FERNANDES (Bloco/PTB - MA. Sem revisão do orador.) - Sra. Presidente, Sras. e Srs. Deputados, boa tarde.
Quero dar as boas-vindas a todos os Prefeitos do Brasil que se encontram na conferência e dizer que a Liderança do PTB abraça todos. É uma pauta muito positiva que traz à conferência os Prefeitos, que são o ente que mais sofre neste País.
Então, em nome da Liderança do PTB, quero dar boas-vindas, em especial, aos Prefeitos do Maranhão, é claro; ao Presidente Federação dos Municípios do Maranhão - FAMEM, Sr. Erlânio; e dizer que o PTB está de portas abertas para trabalharmos junto com os Prefeitos deste País.
Era isso.
Muito obrigado."
PELA ORDEM;"O SR. PEDRO LUCAS FERNANDES (Bloco/PTB - MA. Pela ordem. Sem revisão do orador.) - O PTB, Sr. Presidente, quer se somar ao Líder do PPS sobre o Decreto nº 9.727.
Esse decreto não condiz com a realidade do Ficha Limpa. Não existe Governo metade ficha limpa, metade ficha suja. Então pedimos ao Governo Federal que faça valer esse decreto a partir do dia 1º de janeiro, dia da posse do Presidente Bolsonaro.
Essa é a posição da bancada do PTB."
PELA ORDEM;"O SR. PEDRO LUCAS FERNANDES (Bloco/PTB - MA. Pela ordem. Sem revisão do orador.) - O PTB rejeita as emendas.
O acordo com os Estados Unidos tem que ser quebrado para podermos avançar. A Base Aérea de Alcântara espera, o Maranhão espera, o Brasil espera.
Votamos pela rejeição."
PELA ORDEM;"O SR. PEDRO LUCAS FERNANDES (Bloco/PTB - MA. Pela ordem. Sem revisão do orador.) - Sr. Presidente, é só para pedir agilidade à Mesa para que encaminhe o Requerimento de Informação nº 387, de 2019. Esse requerimento é importante porque o Parque Nacional dos Lençóis Maranhenses tem registrado a morte de várias espécies, como tartarugas - mais de 280. Ao apresentar esse requerimento de informação, pedimos ao Ministro do Meio Ambiente que tome alguma atitude. Lixo de 19 países se encontram naquela região.
Pedimos agilidade a esta Mesa para que encaminhe esse pedido de informação ao Ministério do Meio Ambiente.
Era isso."
FALA DO PRESIDENTE OU NO EXERCÍCIO DA PRESIDÊNCIA;"O SR. PRESIDENTE (Pedro Lucas Fernandes. Bloco/PTB - MA) - Bom dia a todos novamente. Irei ler a mensagem do Presidente Rodrigo Maia ao nosso partido, o PTB, pelos 74 anos de existência e de muita luta em defesa do trabalhador brasileiro.
O Sr. Presidente pronuncia o seguinte discurso: 
""Senhoras e senhores, é com muita satisfação que falo, em nome da Câmara dos Deputados, nesta justa sessão solene que homenageia os 74 anos de criação do Partido Trabalhista Brasileiro, por iniciativa do nobre Deputado Pedro Lucas Fernandes. 
Desde que foi fundado, em 15 de maio de 1945, o PTB participou de todos os grandes momentos históricos brasileiros. Àquela época, a Nação vivia um processo de redemocratização, e a fundação do partido foi um dos mais importantes legados do trabalhismo consolidado por Getúlio Vargas.
Menos de duas décadas após o seu surgimento, no ano de 1961, o PTB chegava ao comando do País, com a posse do então Vice-Presidente João Goulart na Presidência da República. Nas eleições realizadas no ano seguinte, o partido aumentou significativamente sua bancada, passando de 66 para 104 Deputados, 10 Senadores e 4 Governadores. 
Com a extinção do PTB e demais partidos da época, em 1966, os Parlamentares petebistas ingressaram, em sua grande maioria, no Movimento Democrático Brasileiro - MDB. Tão logo, no entanto, restabeleceu-se o pluripartidarismo, o partido foi rearticulado pela ex-Deputada petebista Ivete Vargas, sobrinha-neta de Getúlio Vargas. 
O PTB participou intensamente da campanha pelas Diretas e teve destacada presença na Assembleia Nacional Constituinte, sendo um dos principais defensores da inclusão dos direitos sociais e do trabalho na Carta de 1988, ao lado de outros partidos de esquerda. 
	Sintonizado com as mudanças na conjuntura política nacional e internacional, o partido sempre soube se reinventar. A globalização levou ao alinhamento natural do PTB com o liberalismo econômico, mas o partido, repito aqui, o partido nunca traiu os compromissos com os direitos e o bem-estar do trabalhador brasileiro, princípios que inspiraram sua fundação.
Senhoras e senhores, poucas siglas no nosso País podem exibir, no seu histórico, uma participação tão antiga e tão marcante na política nacional. O PTB não é apenas um patrimônio do trabalhador; ele é referência na nossa história partidária como atento defensor de todos os brasileiros. É uma agremiação que tem longa folha de serviços prestados à Nação, tanto no Legislativo quanto no Executivo.
Hoje, pois, quando realizamos tão significativa homenagem ao PTB, quero saudar a bancada do PTB nesta Casa, bem como reverenciar a memória de petebistas notáveis, como Getúlio Vargas e Alberto Pasqualini.
Que o Partido Trabalhista Brasileiro atravesse as décadas na vanguarda da luta em defesa dos trabalhadores brasileiros e pelo fortalecimento da nossa democracia são os meus votos, em nome da Câmara dos Deputados.
Obrigado, PTB.
Presidente Rodrigo Maia."""
PEQUENO EXPEDIENTE;"O SR. PEDRO LUCAS FERNANDES (Bloco/PTB - MA. Sem revisão do orador.) - Sr. Presidente, o que me traz aqui, no dia de hoje, é um apelo que quero fazer ao Plenário do Supremo Tribunal Federal. 
O Ministro Ricardo Lewandowski, por decisão monocrática, suspendeu uma lei municipal de São Luís que contemplava os consumidores com até 30 minutos gratuitos nos estacionamentos de shoppings e locais privados.
O Ministro fez um desfavor ao Município de São Luís, acatando um recurso da associação dos lojistas dos shoppings. Agora, junto com a Prefeitura de São Luís, com a Câmara Municipal e com o apoio da bancada maranhense, vamos questionar essa decisão monocrática do Ministro Ricardo Lewandowski.
Era isso, Sr. Presidente."
PELA ORDEM;"O SR. PEDRO LUCAS FERNANDES (Bloco/PTB - MA. Pela ordem. Sem revisão do orador.) - Sr. Presidente, Deputado Marcos Pereira, o Deputado Eduardo Bolsonaro já citou aqui, nas palavras dele, a importância de nós avançarmos no Acordo de Salvaguardas Tecnológicas - AST. Não é só o Maranhão que vai ganhar, é o Brasil. A Guiana Francesa, com a Base de Kourou, gera mais de 10 mil empregos diretos. O Brasil está perdendo tempo em entrar num mercado tão importante, que é o mercado aeroespacial. 
Nós, do PTB, apresentamos um requerimento de urgência que se encontra em pauta e tem o apoiamento de vários Líderes, como o Líder do DEM, do PL, do próprio bloco, do PRB, enfim, é um tema suprapartidário. Só aqueles que não conhecem o potencial de Alcântara, preservando, é claro, as comunidades quilombolas, não querem esse acordo. 
Então, nós precisamos avançar. Peço aos Líderes partidários da esquerda e da direita que nós possamos aprovar esse requerimento de urgência e que possamos votá-lo neste plenário. É um acordo que já vem sendo reformulado há mais de 20 anos e que agora está há 5 meses nesta Casa. Foi aprovado pelo PSB, pelo PDT, pelo PCdoB na CREDN e por toda a base do Governo. 
Eu peço aqui a compreensão de todos para que nós possamos avançar no Acordo de Salvaguardas Tecnológicas. 
Era o que tinha a dizer, Sr. Presidente."
PELA ORDEM;"O SR. PEDRO LUCAS FERNANDES (Bloco/PTB - MA. Pela ordem. Sem revisão do orador.) - Sr. Presidente, se o Deputado Boca Aberta permitir, eu gostaria somente de fazer um registro. A cidade de São Luís, em 8 de setembro, completará 407 anos. Sou ludovicense, da capital fundada pelos franceses. Faço, nesta Casa, o registro de que São Luís é bela e alegre, e convido todos os brasileiros a conhecerem essa grande capital!
Viva São Luís do Maranhão!"
PELA ORDEM;"O SR. PEDRO LUCAS FERNANDES (Bloco/PTB - MA. Pela ordem. Sem revisão do orador.) - Presidente, o Bloco orienta ""não"", pelo bem do Brasil.
O País está perdendo emprego. O Brasil já deveria ter entrado no mercado aeroespacial. Kourou, na Guiana Francesa, se transformou, gera mais de 10 mil empregos diretos. Alcântara está esperando. O gasto anual de Alcântara são 50 milhões de reais. Precisamos avançar, para entrarmos no mercado bilionário.
Orientamos ""não"" ao requerimento."
