0;1
PELA ORDEM;"O SR. ENÉIAS REIS (Bloco/PSL - MG. Pela ordem. Sem revisão do orador.) - Sr. Presidente, o Presidente que o antecedeu garantiu que nós podíamos fazer justificativa daqui, que ela constaria em ata. 
Se não há o precedente, que se abra o precedente neste momento, porque eu preciso registrar a minha primeira votação, que foi conforme a orientação do partido. 
Deputado Enéias Reis."
DISCURSO ENCAMINHADO;"DISCURSO NA ÍNTEGRA ENCAMINHADO PELO SR. DEPUTADO ENÉIAS REIS.

Sr. Presidente, Sras. Deputadas e Srs. Deputados, o nosso Estado de Minas Gerais vive um dos seus piores momentos. As graves dificuldades financeiras e a diminuição drástica de verbas condenam a população e a economia dos Municípios a uma situação financeira limitada, levando-os à inadimplência financeira e social, com prejuízos à saúde pública e à educação básica.
Mais do que nunca, Sr. Presidente, é necessária a construção de um acordo efetivo com o Governo Zema e de consenso entre os Municípios quanto ao pagamento de repasses constitucionais atrasados: desde janeiro, aguarda-se a regularização de cerca de R$ 1 bilhão de reais.
E nesse valor não incluímos o passivo acumulado da retenção de recursos do Governo anterior, mais de R$ 12 bilhões de bloqueio de repasses referentes a IPVA, ICMS, ITR e FUNDEB, que vêm desequilibrando, desde então, o orçamento das Prefeituras e provocando uma situação desesperadora para os chefes do Executivo municipal.
Tal acordo é imprescindível para o fortalecimento das administrações municipais, que, embora sensíveis com o momento que Minas está enfrentando, têm a expectativa de que o Estado se equilibre através de socorro da União, para que fique em situação regular com os Municípios, sem necessidade de ingerências, privações, apropriações ou retenções que recaem sobre suas populações.
Esperamos, Sras. e Srs. Deputados, que se construa sob o patrocínio da bancada de Minas no Congresso Nacional um termo de acordo negociando o que é devido constitucionalmente aos Municípios, credores do Estado que são, no mérito, nos casos de convênios e parcerias; e invioláveis nos repasses constitucionais, e, do mesmo modo, aa negociação de um regime de recuperação fiscal inspirado na reconstrução do quadro federativo, cujo agravamento faz com que Minas demore a receber créditos elevadíssimos, como os da Lei Kandir, do FUNDEB, e do Fundo de Participação dos Estados, estimados em mais de R$ 14 bilhões.
Muito obrigado."
PELA ORDEM;"O SR. ENÉIAS REIS (PSL - MG. Pela ordem. Sem revisão do orador.) - Nobre Presidente, Deputados, Deputadas, boa tarde.
Hoje falo em nome da Assembleia de Deus, da qual sou membro desde o meu nascimento, e também em nome de todos os evangélicos da nossa Nação.
Nobre Presidente, como servos de Deus, nós acreditamos que Deus está passando esta Nação a limpo. Neste momento, posso afirmar que existem milhões de evangélicos em nossa Nação que estão com os joelhos dobrados, clamando pela restauração do Brasil.
A Bíblia diz em II crônicas, capítulo 7, versículo 14: ""Se o meu povo, que se chama pelo meu nome, se humilhar, e orar, e buscar a minha face (...), eu perdoarei os seus pecados, e sararei a sua terra"". Nós não temos dúvida de que Deus está sarando esta Nação.
Quero aproveitar a oportunidade para agradecer ao nosso Presidente por ter reafirmado, em uma rede social, que não irá tributar as igrejas em nosso País - e não deve mesmo tributá-las! Em vez disso, deve incentivá-las, porque são elas que fazem um trabalho social belíssimo neste País. Milhões de servos de Deus diariamente abraçam homicidas, abraçam aqueles que estão jogados na prostituição, aqueles que estão assaltando a sociedade. Esses servos dão alento a essas pessoas, apontam o caminho, mostram a palavra e dizem que só Jesus Cristo salva. Muitos têm sido resgatados e transformados, tornando-se bênção para esta Nação.
Sra. Presidente, muito obrigado."
PEQUENO EXPEDIENTE;"O SR. ENÉIAS REIS (PSL - MG. Sem revisão do orador.) - Nobre Presidente, Deputados, Deputadas, hoje uso a tribuna para tratar da Ação Direta de Inconstitucionalidade nº 5.581, que está no Supremo Tribunal Federal e versa sobre a descriminalização do aborto em casos de infecção por zika vírus.
Sra. Presidente, a nação cristã conservadora deste País não concorda em absoluto com isso.
Hoje, manifesto a nossa insatisfação e peço ao Supremo Tribunal Federal que não aprove essa ADI, pois sabemos que quem tem o poder de decidir sobre a vida e a morte é o Todo-Poderoso Deus.
Muito obrigado, Sra. Presidente."
PELA ORDEM;"O SR. ENÉIAS REIS (PSL - MG. Pela ordem. Sem revisão do orador.) - Sra. Presidente, o PL 672, que visa incluir na Lei nº 7.716, de 1985, o crime de intolerância, discriminação, preconceito ou identidade de gênero e estabelece uma punição de 3 anos de prisão está no seu estado final na CCJ do Senado. Para nós cristãos, essa é uma tentativa clara de nos amordaçar. Nós queremos que os Senadores pensem bem antes de deliberar e aprovar esse PL, pois não será interessante para a nossa Nação. Entendemos que todos nós devemos respeitas as diferenças, todavia não dessa forma.
Muito obrigado, Sra. Presidente.
O PSL orienta ""sim""."
PELA ORDEM;"O SR. ENÉIAS REIS (PSL - MG. Pela ordem. Sem revisão do orador.) - Sra. Presidente, é inadmissível, é um absurdo o que esse estrangeiro de nome Glenn tem causado ao Brasil. Esse elemento fica no Brasil causando problemas, como nós temos visto, para a política brasileira. Esse sujeito não pode sequer voltar ao seu país de origem porque também causou problemas ao Governo dos Estados Unidos.
Sra. Presidente, solicitamos ao Ministro das Relações Exteriores e à Polícia Federal que deportem esse elemento imediatamente da nossa Nação. Nós não podemos admitir que um estrangeiro seja contratado para cometer crimes dentro do território nacional. 
Faço uma pergunta aos nobres Parlamentares: Quem é mais importante? Um estrangeiro que comete crime no Brasil ou um juiz federal que pune corruptos e prende ladrões, como temos visto nos últimos dias?
Muito obrigado, Sra. Presidente."
BREVES COMUNICAÇÕES;"O SR. ENÉIAS REIS (PSL - MG. Sem revisão do orador.) - Boa tarde! 
Sr. Presidente, Sras. Deputadas, Srs. Deputados, é inacreditável como a Esquerda ainda insiste em distribuir pobreza no nosso Brasil. O assunto é sempre o mesmo: diminuir a desigualdade, defender os direitos dos trabalhadores, democracia.
Está evidente que mentem, descaradamente, para o povo brasileiro, dizendo que a reforma da Previdência vai prejudicar os mais pobres, sendo que ocorre o contrário, os mais pobres serão beneficiados, os mais ricos terão que contribuir ainda mais. 
Ficaram no poder por mais de 16 anos e o resultado prático foi 14 milhões de desempregados, fora 4 milhões que desistiram de procurar emprego.
Sr. Presidente, está evidente que esse discurso acalorado não passa de enganação, de tentar entrar na mente daqueles que não têm entendimento ou qualquer cultura. Fizeram uma geração de dependentes de programas sociais no nosso Estado Democrático de Direito, com um único objetivo: captar votos para se perpetuarem no poder.
É claro que precisamos usar o tempo que temos para dizer à população brasileira que é hora de esse povo despertar, acordar para a realidade. A reforma da Previdência, a reforma tributária e a liberação do comércio para outras empresas serem instaladas no Brasil e gerarem emprego e renda é que vão oferecer solução, dar qualidade de vida e acabar com a desigualdade, fazendo do Brasil um lugar melhor para viver.
Viva o Brasil!
Viva o nosso Presidente!
Muito obrigado, Sr. Presidente."
PELA ORDEM;"O SR. ENÉIAS REIS (PSL - MG. Pela ordem. Sem revisão do orador.) - Sra. Presidente, nobres Deputados e Deputadas, não me causa nenhuma estranheza ver a Esquerda reclamar da exoneração do ex-Presidente do BNDES, o Sr. Joaquim Levy, afinal de contas, a banda estava tocando no tom que agradava aos ouvidos da Esquerda. Todavia, para a Nação brasileira, o que interessa é a abertura da caixa-preta do BNDES, para de fato sabermos o que foi feito com o dinheiro do nosso Brasil, da nossa gente, onde e como esse dinheiro foi aplicado. Nós queremos transparência - não abrimos mão disso.
Nosso Presidente está totalmente alinhado aos interesses do povo brasileiro, que exige uma resposta. Nós também estamos alinhados ao nosso Presidente, para fazermos deste Brasil um lugar melhor para vivermos.
Muito obrigado."
PEQUENO EXPEDIENTE;"O SR. ENÉIAS REIS (PSL - MG. Sem revisão do orador.) - Sr. Presidente, na última segunda-feira, o Conselho Nacional de Política Energética anunciou um plano estratégico para forçar a concorrência e a redução do preço do gás. Uma das metas do Governo Federal é quebrar os monopólios no nosso País, afinal, nós temos milhões que, às vezes, não têm condição sequer de ter gás de cozinha em sua residência, sem falar de outras coisas que só estão ao alcance daqueles que realmente têm melhores condições financeiras.
Essa medida anunciada segunda-feira também nos mostra o desejo claro do Ministro Paulo Guedes de causar um choque de energia barata neste País, a fim de que possamos ter melhor qualidade de vida.
Gostaria de parabenizar o nosso Presidente por esta atitude tomada agora através do seu Ministro, porque vai beneficiar, e muito, o povo brasileiro.
Muito obrigado, Sr. Presidente."
PELA ORDEM;"O SR. ENÉIAS REIS (PSL - MG. Pela ordem. Sem revisão do orador.) - Nobre Presidente, Sras. e Srs. Deputados, hoje eu venho falar do que vem acontecendo no País. Os meios de comunicação têm prestado um desserviço a nossa Nação, destacando as queimadas no Cerrado do Amazonas como se fossem um fato inusitado. É de ciência de todos, inclusive do povo brasileiro, ser natural que isso aconteça nos meses de estiagem, entre agosto e setembro. Vivemos um momento em que temos um Presidente que, de fato, quer combater o desmatamento que acontece de forma criminosa.
Sr. Presidente, nós sabemos que alguém está ganhando com tudo isso: há alguém recebendo e há alguém pagando. A quem serve essa divulgação negativa de nosso País? Nós sabemos que o Brasil está prestes a fechar um acordo comercial para a exportação de produtos agrícolas para a Europa, e, de repente, aparece um Presidente da França, por nome Macron, que encabeça essa odisseia de informação negativa, além de interferir na nossa soberania.
Nação brasileira, isso tudo não passa de um jogo comercial. Querem atrapalhar o nosso agronegócio, e nós não vamos ficar em silêncio.
Muito obrigado, Sr. Presidente."
