0;1
PEQUENO EXPEDIENTE;"O SR. PASTOR SARGENTO ISIDÓRIO (Bloco/AVANTE - BA. Sem revisão do orador.) - Sra. Presidente, Sras. e Srs. Deputados, senhores da imprensa, povo bom da Bahia, que, pelas mãos de Deus e pelo dedo do povo, elegeu a mim e ao meu filho, Pastor Isidório Filho, os Deputados mais votados do Estado, agradeço a Deus a minha estadia neste lugar.
Com a Bíblia na mão, faço a leitura do Salmo 133, leitura que na semana passada tive a honra de fazer para o Presidente do Supremo Tribunal Federal, Ministro Dias Toffoli: Salmos 133: ""Oh! quão bom e quão suave é que os irmãos vivam em união!"" Este Salmo diz que, onde há união, Deus ordena a bênção, Deus ordena a vida para sempre.
Lembro-me também do povo da imprensa, que chamo de quarto poder, porque não há democracia sem imprensa livre. Enfim, quero agradecer a todos e dar as minhas saudações a todos os homens e mulheres do Executivo, do Legislativo e do Judiciário, aos servidores desta Casa.
E quero dizer que venho da Bahia, com o nome de Pastor Isidório. Venho da Bahia, sendo ex-gay daquele Estado e agora o afirmando na autoridade de Deus. Como ex-gay do Brasil, quero dizer que eu fui alcoólatra, fui drogado, planejei assalto a banco. Lamentavelmente, tive uma vida, há 25 anos, de lamento e de tristeza, por desobedecer a pai e mãe. Todos os filhos e filhas que não honram seus pais, que desobedecem a seus pais, estão fadados à desgraça, estão fadados à maldição. Foi o meu caso. Por não ter ouvido, por não ter obedecido a pai e mãe, caí na infelicidade da bebida, do alcoolismo, das drogas. E ainda dentro da Polícia Militar, por não ouvir os meus companheiros, depois de perder o caráter, tornei-me quase um marginal, chegando a planejar assalto a banco.
Mas, através desta Palavra, conheci Jesus. Através desta Palavra, conheci o Homem das mãos furadas, Aquele que perdoa o pecado, e pude ser limpo. Esta Palavra inerrante, esta Palavra irrefutável, esta Palavra que não pode ser tocada, que é o Livro dos livros, lido por todos os religiosos, seja católico, seja espírita, seja de matriz africana. Enfim, não é um livro privativo dos Evangélicos, é um livro para todos. Por isso, na Bahia, já é de utilidade pública, aprovado por unanimidade.
A Fundação Dr. Jesus é um hospital onde eu moro com a minha esposa e meus filhos e onde atualmente estão sendo tratadas 1.380 pessoas de dependência química e alcoolismo, homens e mulheres, lamentavelmente vitimados, a partir de 12 anos de idade, por essa desgraça de droga e desobediência de pai e mãe.
Tenho ajuda do Governo do Estado para 560 pessoas. Aqui está o ex-Presidente da Assembleia, o Deputado Marcelo Nilo, que hoje é meu colega nesta Casa e sabe que 560 pessoas têm convênio, e 780 estão lá pela misericórdia de Deus.
Por isso, eu sou Deputado. Deus elegeu meu filho também, o mais votado lá na Bahia. Vivemos na misericórdia de Deus. Tenho gente do Brasil todo. É gratuito, ninguém paga nada. Somos o maior hospital de tratamento de dependentes químicos da América Latina e o único gratuito do mundo.
O tempo aqui não me permite falar, e tenho muitas coisas para falar, mas quero dizer já dei entrada em projetos, a exemplo do que trata do Orçamento impositivo, fazendo justiça aos Vereadores dos mais de 5 mil Municípios. Uma vez que os Deputados e Senadores têm recursos para fazer algo em suas comunidades, os Vereadores brasileiros também precisam de recursos.
E hoje acabei de dar entrada, tendo em vista a Lei da Homofobia... Podem confiscar as Bíblias, podem bulir na redação, caso façam isso e invertam os valores de hétero e homo! Criem uma guerra, sangue na canela! Dei entrada num projeto que na Bahia já está aprovado: o Dia do Orgulho Heterossexual, homens mais mulheres criados por Deus iguais ao Filho, para que não haja inversão de valores. Quem quiser ser gay, que seja! É um direito das pessoas e é nossa obrigação respeitar as opções. Todavia, ser heterossexual é coisa de Deus, é bom e agradável a Deus, senão a humanidade estaria exterminada, porque homem com homem não faz filho, e mulher com mulher também não.
Muito obrigado, Sra. Presidente."
PELA ORDEM;"O SR. PASTOR SARGENTO ISIDÓRIO (Bloco/AVANTE - BA. Pela ordem. Sem revisão do orador.) - Sr. Presidente, quero dizer que tudo que estiver na reforma da Previdência e prejudicar os mais necessitados e carentes não iremos aprovar, inclusive só poderemos votar um projeto desses se todo o mundo estiver dentro.
O Brasil, o povo não aguenta mais tanto sofrimento, com o pau envergando nas costas de Francisco e quebrando na de Chico. 
Quero informar também, como policial militar baiano, que aquilo que for dado de bom às Forças Armadas, as polícias militares do Brasil querem também. As polícias militares do Brasil perdem noites, trabalham e saem de casa para trocar tiro com a bandidagem sem saber se retornarão.
Portanto, precisamos, em nome de Jesus, conscientizar as Forças Armadas que os benefícios que conseguirem...
(Desligamento automático do microfone.)"
BREVES COMUNICAÇÕES;"O SR. PASTOR SARGENTO ISIDÓRIO (Bloco/AVANTE - BA. Sem revisão do orador.) - Sra. Presidente, o Salmo 146 diz: ""Não confieis em príncipes, nem em filho de homem, em quem não há salvação. Sai-lhe o espírito, volta para a terra; naquele mesmo dia perecem os seus pensamentos"".
Sra. Presidente, essa reforma que está colocada para o povo mais parece uma santa inquisição, que de santa não tinha nada. É sofrimento para todo o mundo! Quem efetivamente deveria estar nela - os poderosos, os porretas, os abastados - está ficando de fora. Imaginem como vai ficar a situação das empregadas domésticas, das secretarias do lar!
Quando eu vi a retirada do Ministério da Segurança Pública, eu previ um golpe. Num País em que a violência assola as pessoas, que não têm como sair de casa, acabam com o Ministério da Segurança Pública!
Os policiais federais, os policiais civis e os policiais militares não podem ser desrespeitados: 65 anos não pode ser a idade mínima para aposentadoria! Não sei se é assim com as mulheres, mas os homens desta Nação, aos 65 anos, já começam a pensar no Viagra, Sra. Presidente.
Portanto, não podemos ser injustos com o povo, principalmente com os mais humildes.
Muito obrigado.
Que Deus continue abençoando e trazendo luz para este Brasil!"
PELA ORDEM;"O SR. PASTOR SARGENTO ISIDÓRIO (Bloco/AVANTE - BA. Pela ordem. Sem revisão do orador.) - Sr. Presidente, a Bíblia diz, no Salmo 91: ""Aquele que habita no esconderijo do Altíssimo, à sombra do Onipotente descansará. Direi do Senhor: Ele é o meu Deus, o meu refúgio, a minha fortaleza, e nEle confiarei"".
Falo isso para dizer que a reforma da Previdência, para sair e servir ao povo brasileiro, precisa ser feita com justiça, envolvendo todo mundo, como temos dito nesta Casa. Tem de entrar político, tem de entrar todo mundo! Não dá para fazer separação. Mas, como enviaram à Casa um projeto que beneficia os militares, que são importantes para a nossa Nação, quero dizer que não podem esquecer os profissionais de segurança, que vivem em guerra. O pessoal das Forças Armadas está aguardando a guerra, mas está em paz. As Polícias Federal, Civis e Militares e as Guardas Municipais vivem em guerra periodicamente, e seus integrantes, às vezes, nem retornam a suas casas. Então, não é justo. É necessário fazer uma reforma que não prejudique o povo brasileiro, sobretudo os mais carentes.
Muito obrigado."
PELA ORDEM;"O SR. PASTOR SARGENTO ISIDÓRIO (Bloco/AVANTE - BA. Pela ordem. Sem revisão do orador.) - Sr. Presidente, eu gostaria de parabenizar esta Casa, na pessoa de V.Exa., pelas proposições tratadas hoje.
Graças a Deus, as instituições filantrópicas do Brasil inteiro sentem-se prestigiadas, uma vez que V.Exa. traz para esta Casa a demanda dos projetos favoráveis a esse povo que recupera drogados e alcoólatras, atende deficientes físicos, oferece creches. É claro que todas as religiões - não só as evangélicas, mas também a católica, a espírita, a da matriz do santo - que fazem trabalhos filantrópicos agradecem a V.Exa. e a esta Casa, que realmente está tratando de desburocratizar a matéria e, por conseguinte, facilitar o apoio, inclusive financeiro, a essas entidades tão necessitadas.
Portanto, em meu nome e em nome da Fundação Dr. Jesus e das instituições filantrópicas, eu gostaria de agradecer a todos os Deputados e Deputadas desta Casa, especialmente a V.Exa., por estar tratando de projetos importantes para a nossa Nação.
Parabéns a esta Câmara, a este Congresso Nacional!"
PEQUENO EXPEDIENTE;"O SR. PASTOR SARGENTO ISIDÓRIO (Bloco/AVANTE - BA. Sem revisão do orador.) - Sra. Presidente, Sras. e Srs. Deputados, a Bíblia diz no Salmo 41: ""Bem-aventurado é aquele que atende ao pobre"". E esse é o papel dos políticos, porque a política é uma coisa boa; ruim é a perversidade, são os marginais, os bandidos que adentram a política para tumultuar. Ainda que bem que nesta Casa as Sras. e os Srs. Deputados de toda a Nação têm dado sinais de preocupação com a nossa sociedade.
Moro com minha esposa, meus filhos e meus netos, num hospital de tratamento de dependência química, a Fundação Dr. Jesus. São atendidas ali 1.392 pessoas sofridas, de todas as idades, inclusive jovens de 11, 12 anos de idade, prejudicados pela cocaína e pelo crack. São pessoas vindas de todas as cidades da Bahia.
Graças a Deus, nós contamos com um convênio do Governo do Estado, com o apoio do Governador Rui Costa. Desde o Governo de Jaques Wagner, nós temos um convênio para 560 pessoas. Então, são quase 800 pessoas que estão fora desse convênio e que deveríamos colocar para fora. Mas eu não faço isso, porque o Deus a que eu sirvo tem multiplicado o alimento. O nossos três mandatos de Deputado Estadual serviram para isso. Eu sou um Deputado laranja, e Deus acaba de me dar outro Deputado Estadual laranja, o meu filho. Somos dois Deputados laranja, eu e meu filho, porque só somos Deputados no nome. Tudo o que adquirimos pela política é para socorrer os menos favorecidos. Esse é um hospital gratuito, inclusive temos a honra de receber também pessoas de outros Estados.
Eu gostaria de agradecer à revista Época, aos editores e jornalistas que estiveram na nossa entidade, no sábado e no domingo, dormindo mal, comendo mal.
No momento, eu pensei que era uma espécie de perseguição que iriam fazer à minha pessoa, porque era muito investigativo. Eles pareciam detetives. Eu pensei: ""Será que é a Polícia Federal?"". E dou graças a Deus pela Polícia Federal, que é coisa boa na nossa Nação. Mas os jornalistas botaram a verdade na matéria.
Eu faço isso por gratidão a Deus, por tudo que fez na minha vida. Claro que eu tenho defeitos, falhas, mas eu venho disso. Eu fui um mau filho, fui desobediente. Eu desobedeci ao meu pai e à minha mãe. Todo filho que desobedece, que desrespeita pai e mãe é como um estudante que desrespeita o professor, a sua escola. Nós mais velhos aprendemos que o professor é o nosso segundo pai, a professora é a nossa segunda mãe e a escola é a nossa segunda casa.
Quem descumpre isso, como eu descumpri, vira o que eu virei: marginal das drogas, homossexual, planejador de assalto. Eu tenho 38 anos de Polícia Militar, mas há apenas 24 anos me sinto um homem honrado, com minha família, minha mulher, meus filhos e meus netos, tratando daqueles que chegam à nossa entidade vindos não só da Bahia, como também de todo o Brasil.
Eu queria também dizer que a comemoração da época da ditadura não se assenta mais para os novos oficiais-generais. Eu duvido que os oficiais, os almirantes que eu conheço, os que visitam a nossa entidade, que a cúpula das Forças Armadas e de outras instâncias estejam alegres com um decreto que não traz nada de bom para nós, porque temos marcas de sofrimento. E não foram só os civis que morreram. Militares foram demitidos, presos e mortos também, porque não aceitavam aquele comportamento.
Então, nós não devemos lembrar a tortura. Nós devemos escrever uma nova página nesta Nação, uma página de paz, de amor, de serenidade, com a qual possamos conduzir esta Nação para a educação. Sem educação, a nossa juventude perece, perde expectativa de vida. E devemos dar garantias também na segurança pública. Ao invés de mantê-lo, cortaram o Ministério da Segurança Pública, pelo qual nós lutamos o tempo todo.
Eu quero aproveitar para desejar feliz aniversário ao povo de Salvador, pelos 470 anos da cidade. Aquele povo, humilde e maravilhoso, merece todo o meu respeito e a minha consideração.
Tenho obrigação de estar nas ruas dizendo:
Salvador hoje colheu mais uma flor
No jardim florido desta vida
Cristo seja amigo de Salvador 
Nas horas de tristeza e alegria
Parabéns, parabéns para Salvador
Com muito carinho e amor
Seus caminhos sejam sempre dobrados
E guiados pelas mãos do Senhor
Parabéns, parabéns para Salvador
Com muito carinho e amor
Seus caminhos sejam sempre guardados
E guiados pelas mãos do Senhor
Parabéns ao povo de Salvador
Que Deus lhes dê muita saúde e paz
E que os anjos digam amém
Parabéns ao povo de Salvador
Parabéns às crianças de Salvador
pelo seu aniversário
Deus abençoe!"
BREVES COMUNICAÇÕES;"O SR. PASTOR SARGENTO ISIDÓRIO (Bloco/AVANTE - BA. Sem revisão do orador.) - Sr. Presidente, Srs. Deputados, senhores e senhoras, a bíblia diz que bem-aventurada é a nação cujo Deus é o Senhor. No momento em que estamos vivendo, precisamos da benção de Deus sobre nossa nação, sobre os Poderes Executivo, que parece que está precisando de iluminação, Judiciário e Legislativo, para que esta nação, com seus homens e mulheres de bem, possa pensar sobre o nosso povo, as necessidades e as garantias necessárias para a paz social.
Quero, mais uma vez, parabenizar o povo de Salvador pelos 470 anos, mas sem muito o que comemorar, uma vez que as fortes chuvas, inclusive com as notícias de ciclone, têm destruído e inundado vários bairros não só da nossa capital de Salvador, mas de cidades perto da região metropolitana.
O SR. PRESIDENTE (Otoni de Paula. Bloco/PSC - RJ) - Peço que conclua, Deputado.
O SR. PASTOR SARGENTO ISIDÓRIO (Bloco/AVANTE - BA) - Vou concluir, Sr. Presidente.
As cidades da região metropolitana foram fortemente atingidas. Nós estamos com vários Municípios já em estado de calamidade, com secas e tudo. O Governador da Bahia já está preocupado.
Eu venho pedir ao MDR - Ministério do Desenvolvimento Regional que providencie urgentemente recursos financeiros para o Estado da Bahia, que é o Estado mais atingido pelas fortes chuvas, inclusive com ciclones.
Sobre a reforma da Previdência, eu quero manter-me firme no sentido de não permitir maus-tratos aos trabalhadores, aos ruralistas, ao povo pobre, ao deficiente físico. Antigamente, nós metíamos a estaca no vampiro, mas Paulo Guedes, o novo vampiro brasileiro, está com uma estaca querendo fazer o contrário.
Sr. Presidente, eu gostaria que este pronunciamento fosse divulgado no programa A Voz do Brasil.
Obrigado."
PELA ORDEM;"O SR. PASTOR SARGENTO ISIDÓRIO (Bloco/AVANTE - BA. Pela ordem. Sem revisão do orador.) - Sr. Presidente, primeiro, quero citar o Salmo 106, que diz: ""Louvai ao Senhor. Louvai ao Senhor porque ele é bom, porque a sua benignidade dura para sempre. Quem pode referir as obras poderosas do Senhor? Quem anunciará os seus louvores?""
Em segundo lugar, quero parabenizar V.Exa., que neste dia preside a Mesa, demonstrando o quanto é possível e como é boa a renovação de mandato. Eu o parabenizo pela maneira como conduz o trabalho, com a batuta honesta, justa, dando lugar a todos os Parlamentares. 
Em seguida, quero dizer a todos os policiais militares da Bahia e do Brasil, assim como aos militares das Forças Armadas, que acho injusto serem os militares os únicos cidadãos que, após mandato eletivo, não têm o direito de voltar para suas funções. Por isso, da Bahia eu trouxe uma PEC - acabei de dar entrada a ela, graças a Deus consegui 222 assinaturas dos Srs. Deputados - para que se faça justiça a esses profissionais de segurança pública, que também têm direito à cidadania, a gozar da democracia. Assim, nos Estados do País, eles poderão participar da vida pública e, quando terminarem seus mandatos, ou se porventura desistirem de um mandato, terão a possibilidade de retornar aos quarteis, às suas funções. Afinal de contas, eles são contribuintes, pagadores de impostos, têm direito a votar e a serem votados. E não se justifica pais de família terminarem o mandato e ficarem sem...
(Desligamento automático do microfone.)"
PEQUENO EXPEDIENTE;"O SR. PASTOR SARGENTO ISIDÓRIO (Bloco/AVANTE - BA. Sem revisão do orador.) - Sra. Presidente, a Bíblia diz no Salmo 23 que o Senhor é o nosso pastor e que nada nos faltará.
Quero falar contra o projeto do Governo que quer reduzir o imposto sobre o consumo de cigarro. Imaginem que a nossa Nação tem sido abençoada, o nosso povo tem diminuído o tabagismo, responsável pelo aumento do câncer. Aí nós vimos o Governo, na contramão da saúde pública, querendo facilitar, quase estimulando, chamando o nosso povo para voltar a botar as carteiras de cigarro nos seus bolsos.
Eu quero repudiar essa atitude e chamar a atenção do nosso Ministro para que, em vez de fazer isso, devolva o Ministério da Segurança Pública para os profissionais de segurança pública, devolva o Ministério de Segurança Pública para o Brasil.
Peço que meu discurso seja divulgado pelo programa A Voz do Brasil."
PELA ORDEM;"O SR. PASTOR SARGENTO ISIDÓRIO (Bloco/AVANTE - BA. Pela ordem. Sem revisão do orador.) - Sr. Presidente, a Bíblia diz, no Salmo 41, que bem-aventurado é aquele que atende ao pobre, porque o Senhor o livrará no dia do mal. Esta é a nossa função, dos governantes, é inclusive a função para a qual o povo brasileiro elegeu o Presidente Bolsonaro.
Cada um de nós aqui - delegados, empresários, eu também, que sou militar - deixou uma função, e o nosso Presidente fica vacilando em momentos, deixando o inimigo tentar frustrar o projeto para o qual o povo o convocou. Ele se ofereceu para ser Presidente, o povo o elegeu, e, depois, ele diz que não nasceu para ser Presidente, que nasceu para ser militar.
Pelo amor de Deus! O Brasil passando por crises graves, por necessidades, e o homem, que é o Comandante Supremo das Forças Armadas e guindado ao poder de Presidente da República, quase renuncia.
Eu estou tentando conversar com alguns amigos generais, para que, se for o caso, se ele não quiser ser o Comandante Supremo das Forças Armadas e Presidente da República, façamos um projeto para promovê-lo a major e devolvê-lo de volta para o Exército. É claro que tem que ser combinado. Afora isso, ele tem de entender que ele foi eleito Presidente, que a educação, a saúde e a segurança pública têm prioridade nesta Nação. Acabaram com o Ministério da Segurança, frustrando os direitos dos policiais. Ele precisa começar a governar esta Nação.
Eu não votei nele, mas, desde que ele ganhou a eleição, oro pela sua saúde, oro para Deus cercá-lo de homens e mulheres competentes, e não posso ficar calado vendo problemas, como é o caso do ENEM. Até agora o FIES não foi liberado para os nossos estudantes.
Sr. Presidente, peço a V.Exa. que o meu pronunciamento seja divulgado no programa A Voz do Brasil."
