0;1
PELA ORDEM;"O SR. NICOLETTI (Bloco/PSL - RR. Pela ordem. Sem revisão do orador.) - Boa tarde, nobres Deputados do PSL aqui presentes!
Hoje venho para reafirmar meu compromisso com cada concurseiro do Estado de Roraima. Fiquei sabendo, no sábado passado, da decisão do Governo do Estado, que ainda não é definitiva. Conversei com nosso Governador, que é também do mesmo partido, na terça-feira, em Brasília. S.Exa. vai tentar rever a decisão de cancelamento dos concursos.
Digo aos concurseiros do Estado de Roraima que estou com vocês. 
Durante a campanha eleitoral, estive pedindo o apoio de cada um de vocês, porque sei a importância que farão dentro da Polícia Militar e da Polícia Civil. Sei também, Governador, da crise financeira por que o Estado passa, o que não justifica, porém, a não contratação de servidores, o não prosseguimento das próximas etapas de concursos para a segurança pública.
Dessa forma, o Deputado Federal Nicoletti hoje está aqui em Brasília! 
Estamos tentando articular algo que realmente tire o Estado do fundo do poço, a crise financeira. O principal objetivo, senhores, é dar suporte aos nossos concurseiros, porque nossa fronteira está aberta, não temos segurança nem no Estado de Roraima, nem no Brasil como um todo. 
Nicoletti está com cada um de vocês, concurseiros!
Um grande abraço!"
PEQUENO EXPEDIENTE;"O SR. NICOLETTI (Bloco/PSL - RR. Sem revisão do orador.) - Sr. Presidente, estou aqui hoje para reafirmar o meu compromisso com você, concurseiro do Estado de Roraima. Já vencemos a primeira batalha, que foi manter o concurso da Polícia Militar. Hoje nós temos uma segunda batalha muito difícil. Temos já as provas sábado e domingo. São mais de 30 mil inscritos. Na manhã de ontem houve a decisão do juiz da Vara da Fazenda cancelando a liminar que dava prosseguimento a esse concurso. Milhares de pessoas que já se dirigiram ao Estado de Roraima estão com seus sonhos interrompidos.
Esta manhã eu liguei para o Promotor de Justiça que vai fazer um recurso ao Tribunal de Justiça. Amanhã o meu compromisso é conversar com o relator dessa decisão, falar sobre a importância de termos mais policiais civis no nosso Estado.
Há mais de 15 anos não temos concurso público. Eu estou aqui para garantir que a segurança pública seja prioridade no Estado de Roraima. Estou com você, concurseiro. Mais de 30 mil concurseiros...
(Desligamento automático do microfone.)"
PEQUENO EXPEDIENTE;"O SR. NICOLETTI (Bloco/PSL - RR. Sem revisão do orador.) - Nobres colegas Deputados, nesta semana, eu apresentei dois projetos de lei sobre mineração. 
O primeiro deles inclui a imposição da realização de um laudo técnico pelo órgão fiscalizador, para que possamos tipificar o crime ambiental sem licença e com degradação do meio ambiente. Há vários processos lá em Roraima que não possuem esse laudo, e vários garimpeiros estão sendo prejudicados por fazerem garimpo de forma artesanal e não degradarem o meio ambiente. Esse projeto também visa a garantir que aqueles que degradam o meio ambiente terão penas mais severas e receberão multas impostas pelo Judiciário.
O segundo é um projeto de lei para uniformizar a licença, que passaria a ser de competência da União, para que não haja influência de grandes mineradoras, influência política de empresários, pois muitas vezes as nossas cooperativas de garimpeiros são esquecidas e prejudicadas. Então, ficaria a cargo da União essa competência, visando a garantir a preservação do meio ambiente e dar segurança jurídica para nossos pequenos garimpeiros."
BREVES COMUNICAÇÕES;"O SR. NICOLETTI (Bloco/PSL - RR. Sem revisão do orador.) - Boa tarde, nobres Deputados. Hoje estou aqui para falar um pouquinho sobre a crise da Venezuela.
Estive lá na sexta-feira. Saí daqui na quinta à noite e pude acompanhar, de perto, o sofrimento não só dos venezuelanos, mas também da população brasileira.
É importante ressaltar que a população brasileira, principalmente a do meu Estado, Roraima, sofre com essa crise.
Essa crise começou em 2015. Não começou no atual Governo. Então, o Governo passado, do PT, já sabia dessa invasão venezuelana no nosso Estado, e nada fez. Em 2015, como policial rodoviário federal, eu estava naquela fronteira trabalhando: passaram 50, 60 pessoas nesse ano. Nós relatamos ao Governo Estadual e ao Governo Federal também. Em 2016, começaram a passar centenas de pessoas e, em 2017, veio a maior crise, que atinge a educação, a saúde e a segurança pública do nosso Estado.
Sabemos que pela fronteira hoje passam mais de 400 venezuelanos por dia. Nós, no Estado, ajudamos os irmãos venezuelanos, sabemos que eles precisam dessa ajuda, mas a minha preocupação hoje aqui é com o povo de Roraima.
Nós estamos com uma calamidade financeira decretada pelo Governador Antonio Denarium. Não está fácil o Governo dele, pois nós não temos recursos no nosso Estado. Temos uma população de cerca de 500 mil habitantes e uma renda que não permite sustentar mais de 40 mil venezuelanos dentro do nosso Estado.
A missão acolhida é uma missão nobre do nosso Exército Brasileiro, que veio para coordenar muito bem as ações na nossa fronteira, mas, na sexta-feira, observamos que também precisamos colocar o nosso Exército Brasileiro para garantir a soberania do nosso País. Não é admissível que o exército de outro país jogue bombas de efeito moral e de gás lacrimogêneo no território brasileiro, tendo lá pouco efetivo tanto da Polícia Federal, com cerca de 10 homens, quanto da Polícia Rodoviária Federal, com apenas dois policiais. Nós precisamos, sim, do Exército na fronteira, que ele esteja ali guarnecendo e dando uma sensação de segurança ao povo de Roraima.
Peço ao Governo Federal, por meio de um requerimento, que criemos uma Comissão Externa para olharmos, sim, para as deficiências que nós temos na saúde, na educação e na segurança do nosso Estado. Mais de 20 feridos da Venezuela vieram ao nosso Hospital Geral. Se nós não estamos dando conta de atender nem os venezuelanos refugiados, que dirá esses que estão agora, no caso de violência, vindo ao Brasil.
Nobre Presidente Rodrigo Maia, preciso do seu apoio para que criemos essa Comissão e que possamos olhar com carinho para o nosso povo de Roraima.
Muito obrigado a todos."
COMO LÍDER;"O SR. NICOLETTI (PSL - RR. Como Líder. Sem revisão do orador.) - Gostaria hoje de falar para você, que foi aprovado no concurso da Polícia Militar do Estado de Roraima, que eu estou com você desde o início nesta luta, para que pudéssemos destravar esse concurso nas próximas etapas.
Na segunda-feira, o nosso Governador Denarium anunciou o cancelamento da suspensão do concurso e o prosseguimento dele, mas não fomos contemplados com 100% das nossas exigências, que seria a divulgação do cronograma com as próximas etapas.
Concurseiros, estamos firmes nessa luta! Estou articulando junto ao Governo do Estado de Roraima, articulando junto ao reitor da UERR para que, o mais breve possível, nesta semana ainda, saiam as datas previstas das próximas etapas.
Essa conquista não é apenas para você, aprovado, é para a sociedade toda do Estado de Roraima, que clama por segurança. Segurança essa que está cada vez pior devido à falta de efetivo de policiais militares. A crise da Venezuela também está corroborando para o aumento dessa violência.
Gostaria também de deixar registrado aqui o apoio ao Ministro Sergio Mouro. Neste domingo, vários atos pelo Brasil mostraram o apoio da população para que continuemos combatendo a corrupção em nosso País.
A Operação Lava-Jato foi um marco na história do País. Ela veio com os escândalos da PETROBRAS, da Odebrecht, da JBS. Mais de 300 políticos foram investigados. Precisamos manter coeso e firme o nosso Ministério da Justiça, na pessoa do Sergio Moro, no combate à corrupção. Quem não deve não teme. Nós queremos um país limpo da corrupção.
Que nosso Governo Federal possa fazer um trabalho brilhante junto ao Ministério da Justiça.
Um grande abraço a todos."
HOMENAGEM;"O SR. NICOLETTI (PSL - RR. Sem revisão do orador.) - Bom dia a todos.
Gostaria de cumprimentar o Deputado Hugo Leal e de parabenizá-lo por esta iniciativa, com os demais Deputados.
Cumprimento o Carniel, Presidente da nossa Federação.
Estou vendo aqui o Cavalcante também.
Por falar em Federação, não podemos deixar de salientar a luta intensa da instituição e também de cumprimentar os demais colegas que fazer parte da Diretoria. Estão aqui o Neto e outros companheiros, como o Azevedo e o Ricardo. Os dois são meus assessores e têm feito um excelente trabalho na Câmara dos Deputados.
Esta é a importância da FENAPRF, que temos que valorizar. Fiz parte da Diretoria também. Eu andava pelos corredores daqui com agendas, com calendários, para conversar, para articular nos gabinetes, e esse trabalho traz resultados, sim. Muitas vezes, quem está na ponta da linha não valoriza o trabalho da Federação, mas nós temos que multiplicar essa informação, passá-la para os nossos colegas e tentar fortalecer, cada vez mais, os sindicatos dentro dos Estados e também a Federação.
Gostaria de cumprimentar o Deputado José Medeiros e o nosso colega Deputado Fábio também. Todos, juntamente com o Deputado Mauro Lopes, têm feito um excelente trabalho aqui dentro. 
É claro que a articulação nos gabinetes é importante, mas nós precisamos de representantes dentro da Câmara dos Deputados e dentro do Senado Federal, porque, se nós não tivermos a voz da Polícia Rodoviária Federal aqui dentro, nada será aprovado. Então, essa é a importância da nossa representação aqui. Transmitam isso para os nossos colegas. Nós precisamos fortalecer o nosso sistema, para que nós possamos, nas próximas eleições, colocar aqui mais políticos policiais que entendam as nossas demandas, profissionais que tenham estado na pista, para depois estar aqui dentro e poder lutar por melhorias para a nossa instituição.
Entrei na PRF por meio do concurso de 2014, depois de ter passado 15 anos no Exército Brasileiro. Gostei muito da Academia de Polícia e queria parabenizar a estrutura da Polícia Rodoviária Federal e a excelência dos educadores que nós temos lá, aqueles que transmitem o conhecimento. Nós precisamos, sim, mandar cada vez mais recursos para que a Polícia Rodoviária Federal possa aprimorar toda a sua estrutura e formar bem os seus alunos.
Vejo aqui os 686 aprovados que lutam pela convocação. Sou um dos Parlamentares que lutam para que vocês possam entrar no nosso quadro. Nós precisamos de mais efetivo. Conseguimos 500 a mais, e a nossa luta, até o fim do ano, é, sim, trazer para a corporação cada um de vocês, cada um dos 686 aprovados. Já estamos articulando isso no Ministério da Justiça e também na Presidência da República.
Venho da fronteira. Trabalhei em Santarém, em Boa Vista e em Pacaraima. Sabemos das deficiências que existem lá. Precisamos ter olhos para a fronteira também.
Houve um resultado excelente na Operação Égide, feita no ano passado, uma operação em que a PRF se colocou no cenário nacional com excelência. Conseguimos fazer um cinturão nas fronteiras do Rio Grande do Sul, de Santa Catarina, do Paraná e do Mato Grosso, para impedir que drogas e armas do tráfico chegassem ao Rio de Janeiro. E lá também fizemos um policiamento ostensivo. Isso tem de ser mostrado. Precisamos de mais investimentos e de mais operações nesse sentido, porque a nossa polícia tem se destacado, sim, e nós precisamos desse reconhecimento dentro do Congresso Nacional também.
Digo que a educação no trânsito também é importantíssima dentro da instituição. Eu sou um educador, gosto dessa disciplina. Nós precisamos atingir mais alunos, atingir mais jovens, para mudar a cultura do trânsito. Com certeza reduziremos em altos índices os acidentes com essa prática dentro das escolas.
Tudo isso passa pela Câmara dos Deputados, na hora da aprovação do orçamento. Daí a importância do que eu falei aqui quanto à necessidade de termos cada vez mais representantes da nossa categoria inseridos no cenário político.
Eu gostaria de parabenizar, então, os policiais pelos 91 anos da Polícia Rodoviária Federal, porque quem faz a PRF forte é cada um de vocês, é cada um de nós.
Obrigado e bom dia a todos."
PELA ORDEM;"O SR. NICOLETTI (PSL - RR. Pela ordem. Sem revisão do orador.) - Sr. Presidente Deputado Rodrigo Maia, o PSL orienta ""sim"", dada a importância da urgência desta medida provisória. 
Sabemos da importância do Sistema S. É o caso, durante essa pandemia, de todos aqueles que puderam contribuir de uma forma ou outra ter reivindicado alguma receita.
Agora, nós estamos querendo dar prosseguimento a esta medida provisória, orientando ""sim"", quanto aos pressupostos constitucionais."
PELA ORDEM;"O SR. NICOLETTI (PSL - RR. Pela ordem. Sem revisão do orador.) - Olá, Presidente.
O PSL orienta ""sim"" ao texto do substitutivo da MP 934.
Eu gostaria de registrar que fui procurado por formandos do curso de odontologia - pela Ana Claudia e demais colegas - que estudam na Universidade Cathedral, aqui de Boa Vista, em Roraima. Procuraram-me para dar apoiamento à emenda de V.Exa., Presidente, a Emenda nº 15, sobre a inclusão da odontologia também na antecipação da formação. Já estavam a medicina, a enfermagem, a farmácia e a fisioterapia, e esses guerreiros da odontologia precisavam, sim, da aprovação dessa emenda. Nós conseguimos colocar um destaque, que não foi necessário. Foi acatado, então, pela Relatora Luisa Canziani.
Nós vamos votar favoravelmente a esta medida provisória muito bem elaborada pelo Governo Federal."
DISCURSO ENCAMINHADO;"DISCURSO NA ÍNTEGRA ENCAMINHADO PELO SR. DEPUTADO NICOLETTI.

Através do Diretório Regional do PSL-RR - Partido Social Liberal em Roraima, entrei ontem, dia 5, com representação para cassar o mandato do Deputado Estadual Jalser Renier, preso na última sexta-feira, acusado de ser o mandante do sequestro e tortura do jornalista Romano dos Anjos. A representação foi protocolada na manhã desta terça, por mim, como Presidente Regional do PSL-RR e pelo advogado do partido, Alex Ladislau.
Em Sessão Extraordinária ocorrida na segunda-feira, dia 4, a Assembleia Legislativa decidiu, por unanimidade de votos, manter a prisão de Jalser, após um relatório minucioso lido pelo Relator do caso, o Deputado Cel. Chagas. 
A representação com pedido de cassação de Parlamentares através de partido político está legitimada no Código de Ética da Assembleia Legislativa, em seu art. 42.
Jalser quebrou o decoro parlamentar e causou grave prejuízo à imagem do Poder Legislativo de Roraima, não apenas pela acusação de ser mandante do sequestro do jornalista, mas também pela apuração de outros crimes imputados a ele, como de organização criminosa (art. 2º da Lei nº 12.850); violação de sigilo funcional (art. 154 do CP); peculato (art. 312, CP); exercício ilegal da profissão (art. 47 do DL 3.688/41); obstrução de investigação (art. 2º, § 1º da Lei nº 12.850) e lavagem de dinheiro (art. 1º da Lei nº 9.613/98).
Segundo consta na representação, Jalser Renier infringiu o Código de Ética da Assembleia Legislativa em seus arts. 27 e 28, que descrevem qual deve ser a postura do Parlamentar: agir de acordo com a boa-fé, exercer a atividade com zelo e probidade, recusar o patrocínio de proposição ou pleito que considere imoral ou ilícito e ainda evitar causar dano à imagem da Assembleia Legislativa de Roraima.
O art. 37 do mesmo Código diz ainda que perde o mandato o Deputado que infringir qualquer das proibições dispostas nos incisos III, V, VI, VII, IX e XIII do art. 27, citados acima, em conduta ofensiva à imagem da Assembleia Legislativa. 
De acordo com o documento, o art. 103 do Regimento Interno da Casa também foi desrespeitado por Jalser Renier quando diz que o Deputado que descumprir os deveres decorrentes do mandato ou praticar ato que afete a dignidade da investidura estará sujeito a processo e a penalidades como a perda do mandato. Ainda segundo o § 3º do art. 103, é incompatível com o decoro parlamentar a prática de irregularidades graves no desempenho do mandato ou de encargos dele decorrentes.
A representação pede tutela antecipada para afastamento imediato de Jalser Renier do mandato de Deputado Estadual até que se julgue o mérito do pedido de cassação.
Para mim, é dever da pessoa pública zelar pela moralidade das instituições. A sociedade roraimense espera uma atitude enérgica com relação ao Deputado Jalser, que está envolvido em vários escândalos de repercussão nacional e responde a vários processos criminais na Justiça."
PELA ORDEM;"O SR. NICOLETTI (PSL - RR. Pela ordem. Sem revisão do orador.) - Obrigado, Presidente.
Eu estou aqui hoje para falar um pouquinho sobre um caso que tem acontecido no meu Estado, Roraima, na Assembleia Legislativa. Recentemente, eu protocolei uma representação pela cassação do Deputado Estadual Jalser Renier, porque há fortes indícios de autoria e fatos que comprovam que ele é o mentor do crime de tortura contra um jornalista. Nós fizemos uma representamos pela cassação dele, e ele, covardemente, tem atacado uma Deputada que faz um excelente trabalho no mesmo partido, a Deputada Catarina Guerra. Hoje ele está solicitando a retirada dela da Comissão de Ética da Assembleia, porque o julgamento dessa representação está na Comissão de Ética. Então, ele, covardemente, tem atacado essa Deputada.
Eu estou aqui para me solidarizar com a Deputada Catarina. Quero dizer a ela que o mal não vai vencer o bem. Esperamos que o Presidente da Assembleia Legislativa não aceite o requerimento de retirada dessa Deputada da Comissão de Ética, porque ele não é Líder do partido e não pode fazer isso. E mais que isso: ele não pode cometer esse crime de violência política contra as mulheres. É inadmissível essa pressão, esse assédio moral contra a Deputada Catarina, que tem feito um excelente trabalho dentro do Estado. Ela não pode sair do partido neste momento, porque não há janela de transferência, mas está sofrendo essa coação.
Então, eu peço ao Presidente da Assembleia Legislativa do Estado de Roraima que não aceite o requerimento de retirada da Deputada Catarina Guerra da Comissão de Ética e peço aos nobres Deputados que votem pela cassação do Deputado Jalser, que já presidiu essa Assembleia Legislativa usando tornozeleira e também de dentro da cadeia.
Obrigado, Presidente."
