dataHoraInicio;keywords;tipoDiscurso;transcricao
2007-02-05T18:42;"AFONSO HAMM, DEPUTADO FEDERAL, ELEIÇÃO, ELEITOR, RS, AGRADECIMENTO. 
DEPUTADO FEDERAL, MANDATO PARLAMENTAR, ATUAÇÃO PARLAMENTAR, ÉTICA, EXPECTATIVA.
PROGRAMA DE ACELERAÇÃO DO CRESCIMENTO, PAC, GOVERNO, LUIZ INÁCIO LULA DA SILVA, PRESIDENTE DA REPÚBLICA, APOIO.";PELA ORDEM;"O SR. AFONSO HAMM (Bloco/PP-RS. Pela ordem. Sem revisão do orador.) - Sra. Presidenta, Sras. e Srs. Deputados, em primeiro lugar, saúdo a Presidência da Mesa e, naturalmente, com muita satisfação, os colegas Deputados Federais e a renovação que se estabeleceu nesta Legislatura. Quero cumprimentar a todos e, em especial, agradecer aos eleitores do meu Estado a oportunidade de representar o Estado do Rio Grande do Sul. Estive durante 5 meses e meio nesta Casa, como Deputado suplente. Orgulha-me, neste momento, no primeiro dia de atividade legislativa após a nossa posse, fazer nesta tribuna uma manifestação que a população do Rio Grande do Sul e de todos os rincões do País espera.
	Esperamos o que da política e dos políticos? Falo como cidadão, como pai de família e agora, com muita honra, como Deputado Federal. A esperança, a expectativa de todos os brasileiros é a de que os políticos, em especial os Deputados Federais, exerçam o mandato de forma ética. Ética é propiciar bem-estar às pessoas, é trabalhar em favor de quem mais precisa. E o País precisa tanto!
	Por isso, quero agradecer a Bagé e aos municípios não só do sul do Rio Grande do Sul, mas de todo o Estado, a expressiva votação que me conferiram. E a forma de nós, Parlamentares, retribuirmos os votos recebidos é cumprir nossa missão, é exercer um grande mandato.
	E por que precisamos ter essa atuação? Agora temos um projeto importante no País: o PAC. O PIB de outros países cresce 8%, 9%, 10% ao ano. Por que não acreditar num crescimento de 4%, 5% da nossa economia? E não é só o crescimento da economia, mas o de oportunidades, de empregos. Claro que precisamos fazer ajustes no PAC, e vamos fazê-los, por meio de emendas. Temos de acreditar no País. É isso que cada um de nós, Deputados e Senadores, deveremos fazer no desempenho ético do mandato parlamentar. Por isso, a renovação de 48% desta Casa e a credibilidade dos que reiteraram os respectivos mandatos.
	Tenho absoluta convicção de que esta Legislatura, coordenada pelo Presidente Arlindo Chinaglia, haverá de pautar e encaminhar vários assuntos de interesse nacional. Precisamos resolver os problemas do País. É para isso que existem a política e os políticos. Tenho certeza de que haveremos de contemplar iniciativas nesse sentido. Este, na verdade, é o compromisso de todos os Parlamentares.
	Por isso, quero compartilhar este momento com a população brasileira que nos está acompanhando pela TV Câmara. Acredito no Brasil. Tenho dito que não podemos fazer um modelo de política e de políticos que se servem do País, mas que trabalhem para desenvolver o País. Essa deve ser a diretriz, o norte que nós, Parlamentares, deveremos tomar como compromisso com o nosso povo.
	Esta Casa haverá de novamente ser orgulho da população brasileira. Esta Legislatura será o marco referencial da mudança para uma postura ética, o que chamamos de política moderna. E o que é política moderna? É a política do trabalho e dos resultados. É o que devemos fazer nesta Casa legislativa.
	Muito obrigado, Sr. Presidente."
2007-02-05T19:03;"PROGRAMA DE ACELERAÇÃO DO CRESCIMENTO, PAC, PROPOSTA, GOVERNO FEDERAL, ANÁLISE.
RODOVIA, ACESSO RODOVIÁRIO, MATRIZ ENERGÉTICA, EXPANSÃO, POPULAÇÃO, QUALIDADE DE VIDA, MELHORIA, DEFESA.";PELA ORDEM;"O SR. AFONSO HAMM (Bloco/PP-RS. Pela ordem. Sem revisão do orador.) - Sra. Presidenta, ocupo a tribuna em nome do bloco político que aqui represento. 
Quero ampliar a discussão a respeito do significado do Plano de Aceleração do Crescimento. Há várias vertentes, várias diretrizes de um programa, de uma proposta. Atrevo-me a informar que tal projeto não é do Presidente da República, nem de quem está administrando o Brasil. Este é um projeto necessário, um plano que precisa e deve ser construído com a participação do Congresso Nacional, dos Estados e municípios, e que contemple o cidadão que vive na célula da sociedade, o município. 
Precisamos descentralizar as riquezas e ampliar o grau de participação de todos: município, Estado e Federação. Para isso precisamos, sim, melhorar as estradas. Não foram contempladas ainda todas as estradas que fazem o escoamento da produção, nem os nossos portos. 
Esse projeto traz a ampliação da matriz energética. No meu Estado, o Rio Grande do Sul, temos a riqueza mineral do carvão para mais de 200 anos. E o petróleo brasileiro vai acabar em menos de 50 anos. Por que só usamos 1% do potencial energético do País? 
	É necessário esse planejamento estratégico, que passa pela expansão energética e pela condição das nossas estradas e, fundamentalmente, pelo apoio às pessoas, pela condição de dignidade e de moradia, de ampliação da habitação, pela melhoria da condição de vida, principalmente para quem vive nas favelas e nos bairros. 
	Meu município, Bagé, que tem 120 mil habitantes e fica no extremo sul, na chamada metade sul pobre do Rio Grande, tem  29,7% de pessoas vivendo abaixo da linha da pobreza. São índices alarmantes. Precisamos retomar o caminho do desenvolvimento de todas as regiões do País. 
	Tenho certeza de que haveremos de ter a grandeza de ampliar a discussão sobre as medidas provisórias - não destruindo, mas debatendo as grandes questões nacionais, votando, concordando ou discordando.
	Acreditamos no País e temos a convicção que esse Plano de Aceleração do Crescimento será o início da redenção de uma grande Nação. Temos um povo que expressa na alegria sua vontade de vencer. Haveremos de auxiliar, como Parlamentares, a vitória. Teremos um País melhor e mais digno, que orgulhe não só os Parlamentares, mas todos os brasileiros.
	Muito obrigado."
2007-02-07T16:00;VITIVINICULTURA, VINHO, REGIÃO, VALE DOS VINHEDOS, RS, DENOMINAÇÃO, ORIGEM, UNIÃO EUROPEIA, RECONHECIMENTO.;PELA ORDEM;"O SR. AFONSO HAMM (Bloco/PP-RS. Pela ordem. Sem revisão do orador.) - Sr. Presidente, Deputado Narcio Rodrigues, nobres colegas Parlamentares, serei breve. Estava inscrito no Pequeno Expediente, mas apenas 7 Deputados se manifestaram.
Venho falar sobre um assunto de grande importância: a vitivinicultura. O destaque é para os vinhos da região do Vale dos Vinhedos, os primeiros de fora da União Européia a ter a denominação de origem reconhecida. 
O reconhecimento foi formalizado na semana anterior, pelo Comitê de Gestão do Vinho da União Européia, vinculado à Direção-Geral de Agricultura da Comissão Européia. Agora, as vinícolas da região podem estampar no rótulo informações relativas sobre cada tipo de vinho, como ano de fabricação e variedade da uva. Essa identidade diferencia vinhos de qualidade de um simples vinho de mesa.
No setor de mercado, ganhamos qualidade e passamos a ter um vinho de faixa baixa para competir com os de faixa mais alta. Os vinhos brasileiros ainda têm pouca participação no mercado europeu. O ano de 2006 fechou com um total de 926 mil euros vendidos. O selo vai fazer com que esse volume sofra alterações de volume comercializado. O selo de denominação de origem ajudará a acrescentar em pelo menos 60% o valor final dos vinhos produzidos nessa região, que abrange os Municípios de Bento Gonçalves, Garibaldi e Monte Belo do Sul. Nas vendas para a União Européia se estima crescimento 3 a 4 vezes mais, em uma perspectiva de 5 anos. 
O selo garante produto de maior valor agregado que poderá ser explorado igualmente por outros setores empresariais. Os brasileiros valorizam muito os vinhos chilenos e argentinos justamente pelo reconhecimento que têm no exterior. A existência de uma região bem delimitada e com um nome que a distinga de outras assegura a qualidade e a uniformidade da produção de uma indicação geográfica a ser reconhecida. A indicação geográfica do Vale dos Vinhedos foi a primeira registrada no Brasil sob a Lei da Propriedade Industrial - Lei nº 9.279, de 14 de maio de 1996. 
Essa conquista abre caminhos para que as demais regiões - Serra Gaúcha; Campos de Cima da Serra; Serra do Sudeste e Campanha, no Rio Grande do Sul; São Joaquim, em Santa Catarina; e Vale do São Francisco, na Bahia e em Pernambuco - também busquem o seu selo de qualidade.
Sr. Presidente, lamento o tempo reduzido para fazer esta importante  manifestação para todo o Brasil. Espero que, com essa caminhada, consigamos obter grandes conquistas em nome do Brasil, graças à qualidade dos nossos vinhos.
Muito obrigado."
2007-02-08T15:08;PROJETO RONDON, RS. APOIO.;PEQUENO EXPEDIENTE;"O SR. AFONSO HAMM (Bloco/PP-RS. Pronuncia o seguinte discurso.) - Sr. Presidente, Sras. e Srs. Deputados, ocupo a tribuna para destacar a importância do Projeto Rondon, que tem grande relevância para o Brasil nos aspectos social, cultural e econômico. 
Esse projeto, que está sendo reativado, pela primeira vez sai da Amazônia para ser realizado no Rio Grande do Sul. O programa tem como propósito buscar o desenvolvimento de atividades ligadas às áreas de cidadania, bem-estar, saúde, desenvolvimento local sustentável e gestão pública, junto a gestores públicos, lideranças comunitárias e comunidade local. 
Com o propósito de apoiar o movimento estudantil pretendo dar maior relevância a este programa. 
O Projeto Rondon, que completa 40 anos, foi extinto em 1989 por ordem do Governo Federal. Em 2005, durante congresso da União Nacional dos Estudantes (UNE), em Goiânia, foi solicitada a reativação do projeto. O programa foi reativado pela Secretaria de Estudos e Cooperação do Ministério da Defesa, que tem como titular o general Rômulo Bini Pereira. Ainda conta com total apoio da UNE, que no Rio Grande do Sul é coordenada pelo jovem Rafael Amaral, que em 2006 coordenou o projeto na Amazônia. A instalação do programa na metade sul do Estado também foi possível com o esforço da Universidade Federal de Pelotas, por meio da Pró-Reitoria de Extensão e Cultura. 
Essas entidades têm como objetivo tornar o projeto cada vez mais dinâmico e mantê-lo em constante evolução, não oferecendo, certamente, a solução imediata dos problemas, mas desenvolvendo uma consciência cidadã. O projeto visa causar impacto positivo que mude a realidade dos municípios contemplados, a partir de sua inserção. Além disso, gera oportunidade de troca de conhecimentos e experiências integrando as regiões.
O programa, que começou no dia 29 de janeiro, em todo o País, está mobilizando 160 estudantes e 40 professores oriundos de 16 instituições universitárias brasileiras, distribuídas em 20 equipes, que estão atuando em 63 municípios de 8 Estados. No Rio Grande do Sul, estão envolvidos cerca de 40 rondonistas, que estão desenvolvendo ações até o dia 10 de fevereiro, nos municípios de Amaral Ferrador, Arroio Grande, Chuí, Dom Pedrito, Encruzilhada do Sul, Hulha Negra, Jaguarão, Piratini, Santana da Boa Vista e Turuçu. 
O trabalho não termina com a partida das equipes em fevereiro. As universidades e as Prefeituras criam vínculos para desenvolver os projetos iniciados com as visitações. O projeto também abre portas para alunos e professores gaúchos fazerem intercâmbios culturais e retomarem o processo de envio de equipes gaúchas para atuar durante um período em municípios pobres da Amazônia e do Nordeste, caracterizando o programa como intercâmbio nacional.
O Rondon não é um projeto de partido, não tem ideologia - a não ser a de servir -, é um projeto sem dono, pois representa um trabalho da coletividade. Sua principal estrutura são os professores e os estudantes, com apoio logístico das Forças Armadas, fundamental em razão da territorialidade.
Reitero desta tribuna da Câmara Federal a condição de parceiro do Projeto Rondon e me lanço na busca de recursos orçamentários visando à sua expansão.
Sr. Presidente, peço seja dada publicidade a este discurso nos meios de comunicação da Casa.
Muito obrigado."
2007-02-08T15:50;PROJETO RONDON, REATIVAÇÃO, ALUNO, RS, PARTICIPAÇÃO, RECURSOS ORÇAMENTÁRIOS, DESTINAÇÃO, APOIO.;PELA ORDEM;"O SR. AFONSO HAMM (Bloco/PP-RS. Pela ordem. Sem revisão do orador.) - Sr. Presidente, Sras. e Srs. Deputados, ocupo mais uma vez a tribuna para propor aos colegas o reforço de iniciativa que julgo da maior importância para a integração do País. Refiro-me, Sr. Presidente, ao Projeto Rondon. 
O Projeto Rondon, que completa 40 anos, propicia aos universitários que estão concluindo o 3º Grau desenvolver trabalhos sociais nas regiões pobres do País. Hoje, 16 universidades retomam esse projeto, proporcionando aos seus alunos em fase de finalização do curso a oportunidade de percorrer as regiões carentes brasileiras. 
Tenho orgulho de dizer que o Rio Grande do Sul, meu Estado, pela primeira vez tem a oportunidade de fazer essa integração, por intermédio de 120 alunos das 16 universidades a que me referi anteriormente. E, pela primeira vez, 40 estudantes da Universidade Federal de Pelotas percorrerão 10 municípios da metade sul do meu Estado. 
Para quem não sabe, também no extremo sul do País, na chamada metade pobre do Rio Grande, a minha região de origem, estamos conseguindo fazer esse trabalho. O Ministério da Defesa, com a participação da Aeronáutica, do Exército e da Marinha, tem contribuído com o projeto, excelentemente coordenado pelo General Bini. 
E aqui cabe dizer que uma Frente Parlamentar precisa ser reativada para promovermos o desenvolvimento horizontal em todo o País. Com a participação da UNE, com o trabalho do vice-presidente da instituição no Estado do Rio Grande do Sul, Rafael Simões, estamos conseguindo integrar efetivamente o nosso Rio Grande ao País. 
Sr. Presidente, quero dizer da importância do Projeto Rondon. Precisamos votar o Orçamento para ampliarmos a visão de integração, de bem-estar social, de valorização em todas as áreas - econômica, da saúde e ambiental. 
Vamos, colegas Parlamentares, apoiar o Projeto Rondon! 
Sr. Presidente, muito obrigado."
2007-02-15T14:03;"FRENTE PARLAMENTAR EM DEFESA DA FRUTICULTURA, INSTALAÇÃO, DEFESA. 
FRUTICULTURA, EMPREGO, RENDA, AUMENTO, EXPORTAÇÃO.";PEQUENO EXPEDIENTE;"O SR. AFONSO HAMM (Bloco/PP-RS. Pronuncia o seguinte discurso.) - Sr. Presidente, Sras. e Srs. Deputados, ocupo esta tribuna para anunciar que estamos reestruturando a Frente Parlamentar em Defesa da Fruticultura Brasileira, lançada no dia 16 de fevereiro de 2006, momento em que fui titulado como presidente. Solicitamos o apoio dos Deputados para que se integrem à Frente Parlamentar, assinando o Termo de Adesão que está sendo encaminhado a todos gabinetes.
A instalação da frente parlamentar teve como objetivo buscar as melhores alternativas e respaldos do Congresso Nacional para este importante segmento do agronegócio. A Frente Parlamentar da Fruticultura foi um pleito que colocamos em prática quando estivemos durante 5 meses em 2006 na Câmara dos Deputados. Esta foi uma reivindicação dos fruticultores e de órgãos representativos como o Instituto Brasileiro de Frutas - IBRAF, a Câmara Setorial da Fruticultura, instituições de pesquisa, associações dos fruticultores, entre outras entidades. 
Agora, a intenção de reestruturá-la tem o propósito de fomentar seu crescimento na produção, exportação, geração de renda e emprego, considerando que a fruticultura tem apresentado uma evolução continuada no atendimento ao grande mercado interno e na otimização do acesso ao mercado internacional.
	A fruticultura é uma das principais atividades geradoras de
emprego no meio rural, e por isso tem um grande impacto social, além do econômico. Diante desta realidade, consideramos que o setor tenha total apoio dos Parlamentares para o fortalecimento de seu desenvolvimento. Incentivar a fruticultura é dar relevância aos programas de fixação do homem no meio rural com condições de geração de renda, de melhoria da qualidade de vida e de diversificar a produção. 
A produção de frutas no Brasil é, em média, de 40 milhões de toneladas, o que o classifica como terceiro produtor mundial. Essa produção ocupa 2 milhões de hectares no País, gerando uma colheita de 38 milhões de toneladas. É uma das atividades agropecuárias que mais emprega, envolvendo cerca de 5 milhões de pessoas. Além disso, demanda mão-de-obra intensiva e qualificada e gera oportunidades de ocupação de 2 a 5 trabalhadores, na cadeia produtiva por hectare cultivado. A receita anual bruta do segmento é de aproximadamente de R$15 bilhões. A fruticultura proporciona uma margem de lucro de 20% a 40% do rendimento bruto obtido. Nos últimos 5 anos vem sendo registrado um crescimento das exportações com o incremento de 27% em frutas frescas, 23% em castanhas e nozes, 18% em polpas e 13% em sucos, com exceção da laranja.
Com esses números, estamos convictos de que a cadeia produtiva da fruticultura brasileira passou a ter grande importância a partir do momento em que a economia se abriu para o setor da exportação, fato que nos leva a um acompanhamento mais próximo da atividade frutas. Isto também obriga o setor público a interagir com o setor privado visando à implementação de uma política nacional do desenvolvimento da fruticultura.
	Era o que tinha a dizer."
2007-03-08T11:22;MULHER, DIA INTERNACIONAL, HOMENAGEM.;BREVES COMUNICAÇÕES;"O SR. AFONSO HAMM (PP-RS. Pronuncia o seguinte discurso.) - Sr. Presidente, Sras. e Srs. Deputados, venho à tribuna nesta data especial - o Dia Internacional da Mulher - registrar meu apreço por essas verdadeiras guerreiras: as mulheres! 
	Neste dia de singular importância, ao cumprimentar às colegas Parlamentares e as mulheres brasileiras, sinônimos de persistente luta por um mundo mais justo e igualitário, reverencio a mulher, a mãe, a trabalhadora, a cidadã, a companheira!
	Parabenizo também as mulheres que batalham e a cada dia conquistam mais espaço na sociedade. A mulher exerce uma diversidade de papéis, constituindo-se verdadeiro exemplo de luta para conquistar espaços mais justos e fraternais. 
Atualmente, a presença feminina se configura em todas as atividades de forma cada vez mais crescente. Sete de cada 10 mulheres dedicam esforços no sentido de realizar-se profissionalmente, investem em carreiras nas mais diversas áreas, tornando-se educadoras, pesquisadoras, empresárias, políticas, vendedoras, agricultoras, artesãs etc. 
 	No mercado de trabalho ainda se evidenciam algumas diferenças, embora existam avanços. São as mulheres, por exemplo, que permanecem mais tempo em busca de emprego: homens, 36 semanas; mulheres, 42 semanas. Igualmente, elas recebem salários proporcionalmente mais baixos do que os recebidos pelos homens.
 Todos esses aspectos desafiam a mulher a superar as barreiras que lhe são impostas para seguir na batalha pela conquista de um mundo mais justo. Mas, no dizer do poeta, a mulher é forte para superar-se; transformadora, busca com a luz do seu sorriso transpor as dores que lhes vão na alma. 
	Esta data nos faz reviver um passado de lutas, marcado pelo ocorrido no dia 8 de março de 1857. Naquela oportunidade, em uma fábrica de tecidos na cidade de Nova York, Estados Unidos, centenas de trabalhadoras protestavam contra as condições impróprias que lhes eram oferecidas no ambiente de trabalho. Pois bem. O desabafo dessas guerreiras resultou em tragédia: dezenas morreram no incêndio acontecido na fábrica. A vida dessas mulheres ficou consagrado na história internacional. Elas foram e são exemplos de coragem. 
	Sr. Presidente, deixo registrado o meu anseio pelo fortalecimento das mulheres e sua plena participação, em condições de igualdade, em todas as esferas sociais, bem como nos processos de decisão. Elas desempenham, repito, papel que deve ser reverenciado no cenário nacional porque têm a ver com o alcance do desenvolvimento pleno do País.
	Finalizo a minha fala reiterando a importância do papel da mulher na sociedade brasileira, sempre tendo como objetivo um país mais justo, soberano e democrático. 
	Parabéns, mulheres! 
Muito obrigado."
2007-03-20T14:24;"TRITICULTURA, POLÍTICA AGRÍCOLA, REALIZAÇÃO, COMISSÃO DE AGRICULTURA PECUÁRIA ABASTECIMENTO E DESENVOLVIMENTO RURAL, AUDIÊNCIA PÚBLICA, DEBATE, CRISE. 
MERCOSUL, COMERCIALIZAÇÃO, TRIGO, FARINHA DE TRIGO, PAÍS ESTRANGEIRO, ARGENTINA, PREJUÍZO, PRODUÇÃO AGRÍCOLA, MERCADO AGRÍCOLA, BRASIL.
TRIGO, REDUÇÃO, ÁREA, CULTIVO, RS.";PEQUENO EXPEDIENTE;"O SR. AFONSO HAMM (PP-RS. Pronuncia o seguinte discurso.) - Sr. Presidente, Sras. e Srs. Deputados, venho à tribuna para me manifestar sobre o setor tritícola brasileiro, aproveitando o dia em que estamos promovendo, na Comissão de Agricultura, Pecuária, Abastecimento e Desenvolvimento Rural, uma audiência pública sobre o trigo. A audiência tem como objetivo discutir os problemas de produção e comercialização do cereal nacional e os prejuízos que a Argentina está trazendo ao setor, em decorrência de subsídios oferecidos a sua farinha, no nível interno de renda e emprego na área agrícola e industrial. 
Por incrível que pareça, sob alguns aspectos a política brasileira é pautada pela política argentina. Consumimos 10,5 milhões de toneladas de trigo. Cinqüenta por cento, transformado em farinha, vem da Argentina, que proibiu a venda do trigo e da farinha. Depois, liberou a venda da farinha e não liberou a do trigo. Esse ato gera desemprego e não dá apoio a quem produz no Brasil.
Ora, o trigo brasileiro não pode ser refém da política argentina. Temos que preservar o mercado brasileiro. Se não nos opormos à manobra da Argentina, ao proibir a venda do trigo e só comercializar a farinha, poderá haver ociosidade na indústria moageira, com possibilidade de geração de uma onda de desemprego, o que deixaria nosso setor tritícola vulnerável às medidas do Governo argentino. A intenção da Argentina é elevar o preço da farinha de trigo à medida que a indústria brasileira for enfraquecida e nossa dependência, ampliada. 
Esta situação tem que ser invertida. É preciso estabelecer uma política nacional do trigo.   
O trigo é um produto de cesta básica essencial como alimento e por isso não pode permanecer nessa situação. Importamos do país vizinho uma média de 60% a 80% do produto consumido. Isso já é uma questão de segurança alimentar. Pela importância da cadeia produtiva do trigo na economia nacional, e especialmente pela sua presença diária na alimentação da população brasileira, é fundamental que se atribua ao setor o tratamento diferenciado que se costuma a atribuir aos produtos de segurança alimentar.
Com a finalidade de alavancar e sustentar a triticultura nacional no médio e longo prazo, as entidades do setor produtivo e Parlamentares envolvidos no processo estamos sugerindo diversas ações, entre elas: a elevação do preço mínimo do trigo, para que cubra os custos de produção e ofereça renda suficiente para a continuidade na exploração; incentivo ao crédito, financiando-se em 100% o orçamento do custeio; garantia por parte do Governo dos instrumentos de comercialização; desenvolvimento de uma política com vistas à auto-suficiência; dar preferência à aquisição do trigo nacional enquanto houver estoque; manter a tarifa externa comum de 10% para importações fora do âmbito do MERCOSUL, valorizando o trigo nacional; estabelecer tarifa de importação de 30% para a farinha de trigo e para a farinha aditivada de 35% como forma de proteger o cereal brasileiro; rever a política de tributação (os ICMS estaduais).     
A atenção especial ao setor do trigo é urgente e coincide com a posse do novo Ministro da Agricultura, Pecuária e Abastecimento, que deverá ocorrer nos próximos dias. Ao futuro Ministro também pedimos que o Plano de Safra contemple a iniciativa do agronegócio no bojo do Programa de Aceleração do Crescimento - PAC.   
Os produtores de trigo vêm se empenhando para viabilizar a produção. É preciso valorizar o triticultor brasileiro, que deve ser o principal beneficiado pelas políticas públicas, através de medidas que lhe dêem estabilidade e segurança e promovam o desenvolvimento da produção. Faz-se necessário priorizar 3 fatores: crédito, seguro e liquidez com renda. 
O Rio Grande do Sul, Estado que represento, é o segundo maior produtor de trigo no País. Na safra de 2006/2007 a produção ficou em 770 mil toneladas cultivados em 694 mil hectares. O produto está em fase de comercialização, sendo que 72% já foi vendido e 28% ainda falta ser comercializado. Essa safra foi frustrada devido a 2 fatores: clima e falta de política agrícola definida para o cereal, de médio a longo prazo. No entanto, o Estado, na safra de 2004, já produziu 2 milhões e 140 mil toneladas, chegando até a exportar o produto. No entanto, nos últimos anos o trigo tem sofrido drástica redução em área de produção; por isso é preciso retomar a triticultura. 
Mesmo com esses fatores negativos, o Rio Grande do Sul ainda é um Estado agrícola. Tem enorme dimensão territorial disponível, excelente parque de máquinas e implementos agrícolas, produtores capacitados, mão-de-obra disponível, pesquisa e assistência técnica favorável ao setor, como, por exemplo, o serviço da EMATER/ASCAR-RS, que dispõe de 485 escritórios com equipe treinada para dar assistência aos triticultores.
Diante desse quadro, solicitamos medidas urgentes do Governo Federal. Precisamos garantir, para a segurança alimentar, o auto-abastecimento de, no mínimo, 80% da produção brasileira, garantindo o pão na mesa do consumidor brasileiro.  
Muito obrigado."
2007-03-21T14:30;"COMITÊ DE FRUTICULTURA DA METADE SUL DO RIO GRANDE DO SUL, ANIVERSÁRIO, HOMENAGEM, DESENVOLVIMENTO.
MUNICÍPIO, CANDIOTA, EMANCIPAÇÃO POLÍTICA, HOMENAGEM.
FRENTE PARLAMENTAR EM DEFESA DA FRUTICULTURA NACIONAL, DESENVOLVIMENTO ECONÔMICO.";PEQUENO EXPEDIENTE;"O SR. AFONSO HAMM (PP-RS. Pronuncia o seguinte discurso.) - Sr. Presidente, Sras. e Srs. Deputados, senhores telespectadores que nos acompanham pela TV Câmara, ocupo esta tribuna para destacar a importância do Comitê de Fruticultura da Metade Sul do Rio Grande do Sul, que no mês de março completa 10 anos de atuação. Essa data será assinalada no dia 23 de março, no Município de Candiota, que também está completando 10 anos de emancipação. Contamos com a presença de representações importantes no evento.
Em 1997 foi criada uma nova alternativa de diversificação produtiva da região. Neste ano, foi implantado o Projeto de Desenvolvimento da Fruticultura Irrigada da Metade Sul, agregando Secretarias Municipais e Estaduais de Agricultura, Ministério da Agricultura, EMATER, EMBRAPA e universidades. Para gerenciar as atividades do setor frutícola, nesta região, foi criado o Comitê de Fruticultura da Metade Sul, formado por 90 municípios, organizados em 11 grandes regiões e distribuídos conforme aspectos geográficos e político-administrativos. O cultivo nessa região é de 36 mil hectares de diversas variedades de frutas e gera mais de 36 mil empregos diretos. A entidade foi criada com intuito de promover o desenvolvimento desse setor, tornando-se ao longo desses anos um projeto de visibilidade e credibilidade. O primeiro presidente foi o gaúcho Luiz Carlos Folador, na época Secretário Municipal de Agricultura de Candiota e hoje atua como assessor no Ministério da Agricultura, Pecuária e Abastecimento, em Brasília. Nessa entidade estive desde 1998 até 2006 atuando como presidente. 
A primeira entidade parceira do Comitê foi a EMBRAPA, que visa orientar o produtor sobre o que produzir e onde. O foco inicial foi a produção da fruta in natura como alternativa e auxiliando a indústria como base produtiva. Agora, a nova estratégia do Comitê de Fruticultura da Metade Sul do Estado gaúcho é na organização de câmaras setoriais, organizando os produtores por região e espécies de frutas.
Outras entidades parceiras que se agregaram no desenvolvimento desse programa foram SENAR/RS, EMATER/RS, Caixa Econômica Federal e universidades. Hoje o Comitê tem como presidente o Secretário Municipal de Agricultura e Pecuária do Rio Grande do Sul, Luiz Carlos Pureza Nunes. 
A nossa intenção é cada vez mais consolidar o programa, em franca expansão, que ajuda a transformar a condição econômica e social da Metade Sul. A mais nova matriz produtiva tende a expandir para ampliação e diversificação de espécies frutícolas e da indústria de polpa de sucos e vitivinícola. A fruta produzida na Metade Sul tem componente diferente e apresenta excelente qualidade, fato que já tem atraído mercados no centro do País, como, por exemplo, a cultura do pêssego no mercado paulista.
A fruticultura é uma das principais atividades geradoras de emprego no meio rural e por isso tem um grande impacto social, além de econômico. É uma alternativa agregadora de renda para as famílias das pequenas propriedades que têm nessa atividade a sua sustentação econômica e de sua família. 
Nesta Casa, sou um defensor da agricultura, com uma bandeira forte à fruticultura. Trabalharei ajudando e fortalecendo o setor na busca de novas idéias, soluções e recursos para a fruticultura. Como uma das atuações nesse setor na Câmara está a Frente Parlamentar em Defesa da Fruticultura Nacional, a qual coordeno. A frente, que já tem mais de 170 adesões de Deputados e Senadores, serve de referência importante e ponto de apoio ao crescimento da fruticultura, para que ela possa gerar emprego e renda no País e, assim, aumentar a riqueza dos brasileiros. 
	Sr. Presidente, peço a V.Exa. que autorize a divulgação do meu pronunciamento nos meios de comunicação da Casa e no programa A Voz do Brasil."
2007-03-27T16:02;MEDIDA PROVISÓRIA, ALTERAÇÃO, DISPOSITIVOS, NORMAS, PROGRAMA DE ARRENDAMENTO RESIDENCIAL, PAR, AQUISIÇÃO, IMÓVEL RESIDENCIAL, CASA PRÓPRIA, DESTINAÇÃO, POPULAÇÃO, BAIXA RENDA, PROJETO DE LEI DE CONVERSÃO, INCLUSÃO, REGULAMENTAÇÃO, COMERCIALIZAÇÃO, ALIMENTOS, SUBSTITUTO, ALEITAMENTO MATERNO, PRODUTO, PUERICULTURA, ALTERAÇÃO, ADVERTÊNCIA, EMBALAGEM, INCENTIVO, HABITAÇÃO POPULAR, CORREÇÃO, ERRO, RÓTULO, LEITE, APROVAÇÃO, DEFESA.;DISCUSSÃO;"O SR. AFONSO HAMM (PP-RS. Sem revisão do orador.) - Sr. Presidente, Sras. e Srs. Deputados, embora novo na Casa, entendi importante manifestar minha posição sobre a matéria.
	O objetivo da medida provisória em debate é buscar solução para o Programa de Arrendamento Residencial - PAR, de importante apelo social. Afinal, precisamos urgentemente solucionar o problema habitacional no Brasil.
Tal como formulado, o programa praticamente engessava a possibilidade de os moradores adquirem o imóvel em universo de tempo menor. E a flexibilização contida no mérito da medida provisória cria condições para que as famílias possam reduzir o tempo de aquisição do imóvel. Ela representa, portanto, uma facilidade, um incentivo à melhoria da habitação no País, além de abrir perspectivas para mais financiamentos. Dessa forma, a medida provisória é de urgência e precisa ser tratada como tal.
No que se refere ao leite, tema abordado pelo nobre Relator, de projeto também social, tenho a dizer que a amamentação materna é condição primordial para a vida. É isso o que apoiamos e também o Ministério da Saúde. Inclusive são feitas campanhas em todo o País em prol da suplementação, em face da desnutrição de muitas mães. E temos condições de fazer essa suplementação. E dizer que o Ministério da Saúde adverte parece comparar o leite, produção e importante sustentação do setor primário, ao cigarro, à bebida alcoólica, a algo prejudicial. Nesse sentido, defendemos também o apêndice que, por ser de urgência, deve-se colocar um alerta, mas não uma advertência por parte do Ministério da Saúde.
	Por isso, somos favoráveis à medida provisória e votamos com o Relator."
